,ticker,entry_date,entry_price,exit_date,exit_price,profit_percentage
12956,1080.SR,2023-04-09,18.502660799789428,2023-04-11,18.100428005218507,2.1739186537727506
12955,1080.SR,2023-05-11,19.273603646850585,2023-05-14,18.80433300819397,2.434784108125494
12954,1080.SR,2023-06-14,18.335064279556274,2023-06-15,17.932833395004273,2.1937795167726306
12953,1080.SR,2023-12-19,17.33102272338867,2024-01-02,17.742849542999267,-2.376240722682942
12952,1080.SR,2024-02-13,18.12795137786865,2024-02-14,17.845805292892457,1.5564146168256476
12951,1080.SR,2024-02-19,18.798050955963134,2024-02-20,18.58644186973572,1.1256969497696183
12950,1080.SR,2024-02-27,19.92663911590576,2024-02-29,19.644491120910644,1.4159336823132533
12949,1080.SR,2024-04-30,21.79586194267273,2024-05-01,21.372643770217895,1.9417363422835912
12948,1080.SR,2024-05-02,21.584254766464234,2024-05-06,21.16103277397156,1.9607903866583372
12947,1080.SR,2024-07-09,19.769106485366823,2024-07-10,19.54338999938965,1.1417637218164096
12946,1080.SR,2024-08-12,19.39251760482788,2024-08-15,19.625696534729006,-1.2024170076972074
12945,1080.SR,2024-09-24,19.081616184997557,2024-09-29,18.654127210235597,2.240318485695477
12944,1080.SR,2024-12-10,20.169774974441527,2024-12-11,19.917165422058105,1.2524163145276568
12943,1080.SR,2025-01-01,20.849871591567993,2025-01-02,20.305793151855468,2.6095049905849708
12942,1080.SR,2025-04-08,21.129540382003785,2025-04-09,20.5887834651947,2.559245998884345
12941,1080.SR,2025-04-13,22.431359617996215,2025-04-14,22.01077154159546,1.8750003725290263
12940,1080.SR,2025-04-16,22.110911923599243,2025-04-20,22.431359617996215,-1.4492739851898824
12939,1111.SR,2022-01-18,159.58490766906738,2022-01-19,154.2843301208496,3.321477967834921
12938,1111.SR,2022-01-23,153.71641273498534,2022-01-24,151.44474319152832,1.4778314839896067
12937,1111.SR,2022-03-23,166.58922209472655,2022-03-24,163.3710235748291,1.9318167642727202
12936,1111.SR,2022-03-28,178.13689088745116,2022-03-29,176.0544965789795,1.1689854347953914
12935,1111.SR,2022-03-31,180.78717202148437,2022-04-05,204.6397022277832,-13.193707241277192
12934,1111.SR,2022-05-10,197.8246935974121,2022-05-12,186.65563639526368,5.645936813570039
12933,1111.SR,2022-05-17,203.76414955444335,2022-05-19,196.65163637695312,3.4905616091165483
12932,1111.SR,2022-05-22,198.95838914794922,2022-05-23,201.0729176147461,-1.0627993500814286
12931,1111.SR,2022-05-31,224.1405522857666,2022-06-01,219.91148007202148,1.8867947681119737
12930,1111.SR,2022-07-04,190.11579611206054,2022-07-05,185.50226000976562,2.42669793706965
12929,1111.SR,2022-07-13,189.34688361511232,2022-07-14,185.50226000976562,2.0304657419985377
12928,1111.SR,2022-07-21,192.61477318725585,2022-07-24,196.07493290405273,-1.7964145011000736
12927,1111.SR,2022-07-31,215.8746627227783,2022-08-01,212.7989516143799,1.424767070672016
12926,1111.SR,2022-08-03,211.4533509246826,2022-08-04,208.1854460723877,1.545449546202231
12925,1111.SR,2022-08-22,219.14256757507323,2022-08-23,213.76011897583007,2.456140155152311
12924,1111.SR,2022-09-04,233.7520730987549,2022-09-05,221.0648717376709,5.42763158969886
12923,1111.SR,2022-10-24,222.02602381896972,2022-10-25,218.56587938232423,1.558440932792069
12922,1111.SR,2022-11-22,163.01131353149415,2022-11-24,156.66771285095214,3.8915094560700005
12921,1111.SR,2022-12-19,171.08499407043456,2022-12-20,167.24038574523925,2.2471920147552567
12920,1111.SR,2022-12-21,169.16268990783692,2022-12-27,173.00729823303223,-2.272728299183423
12919,1111.SR,2023-04-04,152.24640105285644,2023-04-06,150.51635175476073,1.1363482395193527
12918,1111.SR,2023-04-09,154.7454086883545,2023-04-10,152.4386559173584,1.4906760662875131
12917,1111.SR,2023-04-26,163.01131353149415,2023-04-27,160.70454548034667,1.4150969041187522
12916,1111.SR,2023-06-18,194.89426616821288,2023-06-19,186.31892297973633,4.399997679293032
12915,1111.SR,2023-06-20,187.68318073425294,2023-06-22,183.39550914001464,2.284526283849252
12914,1111.SR,2023-07-05,197.62279695739747,2023-07-09,193.3351100830078,2.169631712739083
12913,1111.SR,2023-07-25,198.7921563812256,2023-07-27,194.69938311767578,2.0588202965619358
12912,1111.SR,2023-08-28,195.08916449890137,2023-08-31,192.94532870178222,1.098900496409284
12911,1111.SR,2023-11-05,166.6346041442871,2023-11-06,169.36311965332033,-1.6374243051405082
12910,1111.SR,2023-11-07,170.33759602661132,2023-11-09,166.6346041442871,2.173913433500447
12909,1111.SR,2023-11-21,178.32825950317383,2023-11-26,175.79462704467772,1.4207689042414546
12908,1111.SR,2024-01-07,209.70623369750976,2024-01-09,205.61346043395997,1.9516698151440734
12907,1111.SR,2024-01-17,211.07049145202637,2024-01-18,208.73175732421876,1.108034624697492
12906,1111.SR,2024-01-23,214.383701953125,2024-01-24,211.65517116394042,1.272732378593398
12905,1111.SR,2024-02-15,226.6620370239258,2024-02-18,222.3743654296875,1.891658457911816
12904,1111.SR,2024-02-19,224.71309955749513,2024-02-21,220.42541268310546,1.9080716179132298
12903,1111.SR,2024-03-03,240.6944265106201,2024-03-06,245.9565439178467,-2.186223205710334
12902,1111.SR,2024-03-07,249.46466802978514,2024-03-10,239.7199501373291,3.9062517227059
12901,1111.SR,2024-03-19,263.8868388977051,2024-03-25,260.378730065918,1.3293989372266624
12900,1111.SR,2024-04-04,274.21622122192383,2024-04-15,263.4970422363281,3.9090243960880224
12899,1111.SR,2024-04-23,265.251111932373,2024-04-24,252.58299548034668,4.775895701148327
12898,1111.SR,2024-06-03,244.60232522277832,2024-06-04,242.04618510131837,1.0450187336248222
12897,1111.SR,2024-06-09,249.71459018554688,2024-06-11,242.83268505249023,2.755908306336104
12896,1111.SR,2024-07-21,243.22593502807618,2024-07-23,235.9507799194336,2.991109935625411
12895,1111.SR,2024-08-18,230.24863999328613,2024-08-21,234.96765498046875,-2.049530015604097
12894,1111.SR,2024-10-01,232.41151485900878,2024-10-03,226.90601520080565,2.3688583853269938
12893,1111.SR,2024-10-13,242.83268505249023,2024-10-14,238.90017001647948,1.6194339881226083
12892,1111.SR,2024-10-16,243.6191850036621,2024-10-21,239.09679500427245,1.8563357394540438
12891,1111.SR,2025-03-11,207.24344002075196,2025-03-12,204.09744021606446,1.5180214169251807
12890,1111.SR,2025-03-17,207.83331498413085,2025-03-18,205.0805651550293,1.3244988318219084
12889,1111.SR,2025-04-07,189.5471299987793,2025-04-08,186.4011301940918,1.659745417779613
12888,1111.SR,2025-04-15,193.87289501037597,2025-04-20,191.9066451324463,1.0141953457828323
